Bill,Summary,Issues
Restarting Construction of the Harmful Border Wall,"Senator Ron Johnson (R-WI) offered an amendment to H.R. 3684, the Infrastructure Investment and Jobs Act, which would have continued to waste taxpayer dollars on a hateful and harmful border wall by prohibiting the cancellation of contracts for its construction. This amendment would have tied the Biden administration’s hands as it looks to stop wall construction and prevent further damage to border communities and the environment they depend on, which includes some of the most fragile and sensitive public lands in the U.S., habitat for imperiled species, and vital migration routes for wildlife. On August 4, the Senate rejected the Johnson amendment by a vote of 48-49 (Senate roll call vote 298). NO IS THE PRO-ENVIRONMENT VOTE.","Wildlife, Public Lands/Forests, Environmental Justice"
Defunding the Civilian Conservation Corps and Wildland Firefighting, ,"Climate Change, Public Lands/Forests, Other"
Eliminating Safeguards on Fossil Fuel Production,"Senator Cynthia Lummis (R-WY) offered an amendment to S. Con. Res. 14, the FY2022 budget resolution, which opposed any federal regulatory or permitting actions that could hinder the development of oil, gas, and coal. This harmful amendment supported the unlimited production of dirty fossil fuels, including on our public lands and waters, completely ignoring the harm they pose to our health, taxpayers, the outdoor recreation economy, and our climate. On August 10, the Senate rejected the Lummis amendment by a vote of 49-50 (Senate roll call vote 320).  NO IS THE PRO-ENVIRONMENT VOTE.","Drilling, Dirty Energy, Climate Change, Oceans, Public Lands/Forests"
Promoting Polluting Energy Sources,"Senator John Hoeven (R-ND) offered an amendment to S. Con. Res. 14, the FY2022 budget resolution, which encourages deployment and use of coal and methane power plants with carbon capture and storage technology, and nuclear power plants. This amendment would protect these polluting industries from further oversight and is inspired by repeated failed attempts to further subsidize coal plants to keep them running under the false premise that coal retirements threaten grid reliability. When cold temperatures caused massive failures in fossil fuel generation and blackouts across Texas, it showed that propping up dirty fossil fuels will not prevent power outages or increase grid resiliency, and will increase the frequency of climate change-fueled extreme weather events. Rather, clean renewable energy paired with energy storage is the best way to improve resiliency and reduce unhealthy climate and air pollution, particularly in frontline communities. On August 11, the Senate approved the Hoeven amendment by a vote of 52-47 (Senate roll call vote 346). NO IS THE PRO-ENVIRONMENT VOTE. Although it is a symbolic amendment, the Hoeven amendment was included in the final S. Con. Res. 14, which was considered adopted in the House on August 24.","Dirty Energy, Climate Change, Air"
Build Back Better Budget Resolution,"Senator Bernie Sanders (I-VT) sponsored S. Con. Res. 14, the FY2022 budget resolution. Passage of the budget resolution set in motion the legislative procedure needed to pass President Biden’s Build Back Better agenda, a once-in-a-generation opportunity to take action to tackle the climate crisis in a way that addresses racial and economic inequality and creates millions of good jobs. The Build Back Better investments would set the U.S. on a path to cutting carbon pollution by at least half by 2030 and 100% carbon-free energy powering our electricity grid, new cars, buses, and buildings by 2035, while delivering at least 40% of benefits to communities of color and low-income communities that have borne the brunt of fossil fuel pollution. On August 11, the Senate approved S. Con. Res. 14 by a vote of 50-49 (Senate roll call vote 357). YES IS THE PRO-ENVIRONMENT VOTE. The resolution was considered adopted in the House as part of H. Res. 601 on August 24. ","Climate Change, Clean Energy, Environmental Justice, Public Lands/Forests"
Stone-Manning Confirmation (BLM Director),"The Senate considered President Biden’s nomination of Tracy Stone-Manning to serve as director of the bureau of land management. The Bureau of Land Management manages one in ten acres of land in the U.S., and Stone-Manning’s leadership is helping ensure we harness the power of these public lands in the fight against climate change through responsible energy and resource development as well as equitable conservation measures that mitigate impacts. Stone-Manning is bringing important professional experience to this role after serving as the director of Montana’s Department of Environmental Quality, a congressional staffer, and a senior policy advisor at the National Wildlife Federation. She has a strong reputation for working with a variety of stakeholders, including conservationists, recreationists, governments, ranchers, and energy industries, to find collaborative solutions. On September 30, the Senate confirmed Stone-Manning to serve as director of the Bureau of Land Management by a vote of 50-45 (Senate roll call vote 401). YES IS THE PRO-ENVIRONMENT VOTE. ","Other, Public Lands/Forests"
Voting Rights and Democracy Reforms,"Chair Amy Klobuchar (D-MN) sponsored S. 2747, the Freedom to Vote Act, which would be America’s most significant pro-democracy legislation in half a century. It would protect free and fair elections by safeguarding and expanding voter access, banning partisan gerrymandering, modernizing voter registration, strengthening our campaign finance system, protecting election integrity, and promoting security of election systems. Everyone’s right to be heard and counted in the political process is essential to the function of our democracy and protection of our environment, and far too often it is people of color and frontline communities who are targeted by restrictive voting laws and partisan gerrymandering. By ensuring that voters have access to the ballot box and their voices are not drowned out by outsized corporate interests, the people will be better equipped to hold politicians accountable and accomplish meaningful climate action. On October 20, the Senate failed to invoke cloture on the motion to proceed to S. 2747 by a vote of 49-51 (60 vote threshold; Senate roll call vote 420). YES IS THE PRO-ENVIRONMENT VOTE.",Justice and Democracy
Pérez Confirmation (Second Circuit Court of Appeals),"The Senate considered President Biden’s nomination of Myrna Pérez to serve as a judge of the United States Court of Appeals for the Second Circuit. The Second Circuit is one of the nation’s most powerful courts and, due to its jurisdiction over New York, hears many of the world’s most important business disputes and criminal appeals. Pérez served as director of Voting Rights & Elections at New York University’s Law’s Brennan Center for Justice, distinguishing herself as one of the nation’s foremost experts on the fundamental right to vote. She litigated dozens of cases, taught law students at both NYU and Columbia, and once chaired the New York City Bar Association’s Election Law Committee. A graduate of Columbia Law School and a former federal judicial clerk, Pérez is the first Latina judge on the Second Circuit since Sonia Sotomayor’s elevation to the Supreme Court in 2009. On October 25, the Senate confirmed Pérez to be a judge of the United States Court of Appeals for the Second Circuit by a vote of 48-43 (Senate roll call vote 426). YES IS THE PRO-ENVIRONMENT VOTE.",Judiciary
Restoring the Voting Rights Act,"Chair Patrick Leahy (D-VT) sponsored S. 4, the John R. Lewis Voting Rights Advancement Act of 2021, which would defend against inequitable voting practices by restoring and modernizing the full protections of the Voting Rights Act of 1965. In addition to restoring the protections of the 1965 law that was undermined by the Supreme Court in Brnovich v. Democratic National Committee and Shelby County v. Holder, S. 4 would update them to better address the modern forms of voter suppression seen in hundreds of anti-voter bills filed in state legislatures across the country in 2021. This legislation is a critical step toward ensuring that communities on the frontlines of the climate crisis across the country have their access to the ballot box protected.  This Senate version of the bill covers further ground than the House companion bill, by incorporating the proposed Native American Voting Rights Act, which would help native voters and tribal governments ensure equal access to the franchise despite unique obstacles these voters often face. On November 3, the Senate failed to invoke cloture on the motion to proceed to S. 4 by a vote of 50-49 (60 vote threshold; Senate roll call vote 459). YES IS THE PRO-ENVIRONMENT VOTE.",Justice and Democracy
Sung Confirmation (Ninth Circuit Court of Appeals),"The Senate considered President Biden’s nomination of Jennifer Sung to serve as a judge of the United States Court of Appeals for the Ninth Circuit. The Ninth Circuit has by far the largest jurisdiction of any court other than the Supreme Court: 67 million people and 1.5 million square miles, including Alaska, Hawaii, the entire West Coast, and other large Western states with major public lands and national parks. Sung served as a member of the Oregon Employment Relations Board, which adjudicates labor disputes. As an attorney in private practice, she challenged the constitutionality of anti-union Arizona laws, represented the Oregon Federation of Nurses and Health Professionals in a dispute with hospitals, and fought for professors’ union rights. Prior to law school, she was an organizer with the Service Employees International Union. Sung is the first union-side labor attorney appointed to a federal appellate court in over a decade and the fourth Asian American Pacific Islander woman ever to serve on one. On December 15, the Senate confirmed Sung to be a judge of the United States Court of Appeals for the Ninth Circuit by a vote of 50-49 (Senate roll call vote 500). YES IS THE PRO-ENVIRONMENT VOTE.",Judiciary
USMCA Trade Deal,"House Majority Leader Steny Hoyer (D-MD) sponsored H.R. 5430, the United States-Mexico-Canada Agreement Implementation Act (USMCA), which ratified President Trump’s trade deal that failed to even mention, let alone take action on, the climate crisis. The deal threatens our climate and communities by continuing to support fossil fuel development, including dirty tar sands oil and fracked natural gas, and allowing oil and gas companies in Mexico to challenge environmental and climate regulations through the Investor-State Dispute Settlement system, all while failing to recommit the U.S. to the Paris Climate Agreement. Additionally, the deal fell far short on what is necessary to significantly strengthen enforcement mechanisms, protect against illegal flora and fauna trade, or address outsourcing and dumping of toxic pollution into air and water. Ultimately, the final agreement helps corporate polluters and wasted a critical opportunity to address the climate crisis and environmental issues created by international trade. On January 16, the Senate approved H.R. 5430 by a vote of 89-10 (Senate roll call vote 14). NO IS THE PRO-ENVIRONMENT VOTE. President Trump signed the USMCA into law on January 29.",Climate Change; Other
Brasher Confirmation (Eleventh Circuit Court of Appeals), ,Judiciary
Kindred Confirmation (U.S. District Court for the District of Alaska), ,Judiciary
MacGregor Confirmation (Interior Deputy Secretary),"The Senate considered President Trump’s nomination of Katharine MacGregor to serve as deputy secretary of the Interior. MacGregor has a long track record espousing views and taking actions against land and ocean conservation and in favor of extractive industries. Since 2017, she has occupied senior roles at the Department of the Interior and oversaw the implementation of the administration’s “energy dominance” agenda that encompassed unprecedented rollbacks of public lands protections, such as eliminating over two million acres of national monument protections; opening tens of millions of acres of Sage Grouse habitat to development; and efforts to lift protections in the Arctic and Atlantic Oceans against new drilling. On February 25, the Senate confirmed MacGregor to be deputy secretary of the Interior by a vote of 58-38 (Senate roll call vote 60). NO IS THE PRO-ENVIRONMENT VOTE.  ","Dirty Energy, Climate Change, Lands/Forests, Oceans, Drilling, Wildlife"
Danly Confirmation (Federal Energy Regulatory Commission),"The Senate considered President Trump’s nomination of James P. Danly to serve as a member of the Federal Energy Regulatory Commission (FERC), which regulates and oversees energy industries in the United States. Not only is Danly underqualified for the position, his nomination also set a dangerous precedent by politicizing the traditionally independent and objective agency. Typically, FERC commissioners are advanced in pairs, but by confirming Danly without a Democratic counterpart, this vote threw out decades of precedent, creating legal uncertainty around FERC decisions and jeopardizing the agency’s ability to work on behalf of what is best for consumers, the climate, and our environment. On March 12, the Senate confirmed Danly to the Federal Energy Regulatory Commission by a vote of 52-40 (Senate roll call vote 72). NO IS THE PRO-ENVIRONMENT VOTE.     ","Dirty Energy, Clean Energy, Climate Change"
Defeating Effort to Derail the Great American Outdoors Act,"During consideration of the Great American Outdoors Act (GAOA), Senator Mike Enzi (R-WY) raised a ""budget point of order” to this legislation, which was a procedural tactic that, if successful, would have killed the bill and denied funding for critical conservation investments contained in the underlying legislation. GAOA provides full and permanent funding of $900 million annually for the Land and Water Conservation Fund and funding to address the deferred maintenance backlog in our national parks and other public lands. By investing in our public lands and waters, GAOA will protect our nation’s natural heritage and invaluable landscapes, enhance access to the outdoors and green spaces for communities nationwide, and provide much-needed repairs to deteriorating infrastructure in our national parks. With guaranteed funding into the future, GAOA honors existing federal commitments to conserve and maintain these irreplaceable public treasures. On June 15, the Senate approved a motion waiving the budget point of order on H.R. 1957, the vehicle for GAOA, by a vote of 68-30 (Senate roll call vote 118). YES IS THE PRO-ENVIRONMENT VOTE. The Senate approved H.R. 1957 on June 17, the House approved it on July 22, and the president signed this legislation into law on August 4.",Lands/Forests
Great American Outdoors Act,"Senator Cory Gardner (R-CO) sponsored the Great American Outdoors Act (GAOA), which provides full and permanent funding of $900 million annually for the Land and Water Conservation Fund and funding to address the deferred maintenance backlog in our national parks and other public lands. By investing in our public lands and waters, GAOA will protect our nation’s natural heritage and invaluable landscapes, enhance access to the outdoors and green spaces for communities nationwide, and provide much-needed repairs to deteriorating infrastructure in our national parks. With guaranteed funding into the future, GAOA honors existing federal commitments to conserve and maintain these irreplaceable public treasures.  On June 17, the Senate approved H.R. 1957, the vehicle for GAOA, by a vote of 73-25 (Senate roll call vote 121). YES IS THE PRO-ENVIRONMENT VOTE. The House approved H.R. 1957 on July 22 and the president signed this legislation into law on August 4.",Lands/Forests
Walker Confirmation (D.C. Circuit Court of Appeals), ,Judiciary
Wilson Confirmation (Fifth Circuit Court of Appeals), ,Judiciary
Inadequate Policing Reform,"Senator Tim Scott (R-SC) sponsored S. 3985, the JUSTICE Act, which would inadequately address the need for comprehensive policing reform. Black people have endured systemic racism and abusive policing practices for generations, but the mere incremental reforms and increased police funding of S. 3985 fail to address the priorities of racial justice organizations. Despite the outcry from racial justice organizations and activists following the deaths of George Floyd, Breonna Taylor, Jacob Blake and many others, S. 3985 fails to address racial profiling, no-knock warrants, militarization equipment, or restrictions on use of force such as chokeholds. Environmental justice requires racial and social justice, and an effort to pass a legislative half-measure instead of meaningful change is unacceptable. On June 24, the motion to invoke cloture was rejected by a vote of 55-45 (60 votes were needed to pass the motion; Senate roll call vote 126) and the proposal did not move forward. NO IS THE PRO-ENVIRONMENT VOTE.","Judiciary, Other"
Inadequate COVID Relief Package,"Senate Majority Leader Mitch McConnell (R-KY) attempted a vote on a bare-bones COVID-19 relief package instead of taking up a bill that met the needs of the country. In the midst of a raging pandemic that was causing disproportionate suffering in communities of color and Trump’s appointee as Postmaster General attempting to sway the upcoming election by delaying the delivery of mail-in ballots, the proposal would provide little funding for testing or public health response and merely provide loan forgiveness for the U.S. Postal Service and only if the agency got into even more dire financial straits. Unfortunately, it also would let companies off the hook for actions that endanger their employees, customers, and broader community. Among other failings, this inadequate bill would not have provided critical relief in the form of additional funding for state and local governments, vote-by-mail and election assistance to ensure smooth operation of our democracy, or a moratorium on utility disconnects at a time when it is even more essential for homes to have clean water for hand washing and heat and cooling, since community warming or cooling centers would defeat social distancing efforts. And it would provide unrelated and unnecessary support to extractive industries and coal companies. Environmental justice requires addressing the gross inequities and disproportionate impacts of the COVID-19 crisis, and liability-erasing legislative half-measures are unacceptable. On September 10, the motion to invoke cloture was rejected by a vote of 52-47 (60 votes were needed to pass the motion; Senate roll call vote 168) and the proposal did not move forward. NO IS THE PRO-ENVIRONMENT VOTE.",Other
Barrett Cloture Vote (Supreme Court),,Judiciary
Barrett Confirmation (Supreme Court),,Judiciary
Blocking Permanent Reauthorization of the Land & Water Conservation Fund,"Senator Mike Lee (R-UT) offered an amendment to S. 47, the John D. Dingell, Jr. Conservation, Management, and Recreation Act, an amendment which would undermine the Land and Water Conservation Fund (LWCF) by limiting its reauthorization in this package of public lands bills. The underlying legislation permanently reauthorized LWCF, but this amendment would have limited it to a temporary five-year reauthorization. From 2015 to 2018, LWCF’s authorization expired twice, putting in jeopardy this critical conservation program, which has protected National Parks and other federal lands, neighborhood parks, and historical sites in nearly every county in America. On February 7, Senator Lisa Murkowski (R-AK) offered a motion to table the Lee amendment, which the Senate approved by a vote of 68-30 (Senate roll call vote 19). YES IS THE PRO-ENVIRONMENT VOTE. The Senate and House subsequently passed S. 47 and the president signed this legislation into law on March 12, which permanently reauthorized LWCF.",Lands/Forests
Undermining the Antiquities Act,"Senator Mike Lee (R-UT) offered an amendment to S. 47, the John D. Dingell, Jr. Conservation, Management, and Recreation Act, an amendment which would limit the president’s authority to protect national monuments. This amendment would weaken the Antiquities Act by restricting the president from designating new national monuments in the state of Utah. The Antiquities Act, which has been used by 17 presidents of both parties, has provided initial protections for nearly half of our national parks, including Grand Canyon and Acadia National Parks. Presidents need this authority to continue to act swiftly to protect irreplaceable natural, cultural, and historical sites on our public lands, especially in the face of threats to these magnificent places. On February 11, Senator Lisa Murkowski (R-AK) offered a motion to table the Lee amendment, which the Senate approved by a vote of 60-30 (Senate roll call vote 20). YES IS THE PRO-ENVIRONMENT VOTE.",Lands/Forests
Public Lands Package,"Senator Lisa Murkowski (R-AK) sponsored S. 47, the John D. Dingell, Jr. Conservation, Management, and Recreation Act, a package of public lands bills that permanently reauthorized the Land and Water Conservation Fund (LWCF) and protected over two million acres of public lands and waters, among other provisions. LWCF is the nation’s best and most accessible parks program and has benefitted every region and nearly every county in the country by funding projects that range from increasing access to national parks to creating local parks. In addition to the LWCF provisions, S. 47 also included more than 100 local and regional land protection bills, including legislation to designate wilderness areas and other protections, as well as the Every Kid Outdoors Act, which provides free access to our nation’s public lands and waters for fourth graders and their families. While not every provision in the package benefitted conservation, overall, this legislation advanced public lands and waters protections. On February 12, the Senate approved S. 47 by a vote of 92-8 (Senate roll call vote 22). YES IS THE PRO-ENVIRONMENT VOTE. The House approved S. 47 on February 26 and the president signed this legislation into law on March 12.",Lands/Forests
Miller Confirmation (Ninth Circuit Court of Appeals),"The Senate considered President Trump’s nomination of Eric Miller to be a U.S. Circuit Court judge for the Ninth Circuit. Circuit courts are often the ultimate arbiters of highly significant cases, including those involving environmental protections, and it is critical that the judges confirmed to serve lifetime appointments on these courts are qualified, non-partisan, and committed to treating parties fairly. In particular, the Ninth Circuit is critically important for environmental issues, covering nearly two-thirds of the nation’s public land and over half of all endangered species. LCV is committed to furthering racial justice and equity, and Miller has repeatedly challenged tribal rights, recognition and sovereignty, including through pro bono representation. We share the concerns of the National Council of American Indians and the Native American Rights Fund, who strongly opposed Miller’s nomination and questioned his ability to rule fairly on cases involving tribal issues. Moreover, Miller’s record, including his writings and public statements, reflect a view of the legal system as a tool to protect corporations, rather than the public interest. On February 26, the Senate confirmed Miller to the Ninth Circuit by a vote of 53-46 (Senate roll call vote 29). NO IS THE PRO-ENVIRONMENT VOTE.","Other, Justice and Democracy"
Wheeler Confirmation (EPA Administrator),"The Senate considered President Trump’s nomination of Andrew Wheeler for administrator of the Environmental Protection Agency (EPA). The mission of the EPA is to protect human health and the environment, but Wheeler has dedicated his career to weakening environmental protections—he served as a lobbyist for numerous fossil fuel clients, including one of our country’s biggest polluters, Murray Energy. Wheeler’s inherent conflicts of interest, which stem from his long history of ties to the fossil fuel industry, and actions to undermine public health and environmental safeguards as deputy administrator of the EPA made him an entirely inappropriate choice for leading the agency. On February 28, the Senate confirmed Wheeler to be administrator of the EPA by a vote of 52-47 (Senate roll call vote 33). NO IS THE PRO-ENVIRONMENT VOTE.","Climate Change, Clean Air, Clean Water"
Rao Confirmation (D.C. Circuit Court of Appeals),"The Senate considered President Trump’s nomination of Neomi Rao to be a U.S. Circuit Court judge for the D.C. Circuit. Circuit courts are often the ultimate arbiters of highly significant cases, including those involving environmental protections, and it is critical that the judges confirmed to serve lifetime appointments on these courts are qualified, non-partisan, and committed to treating parties fairly. As administrator of the Office of Information and Regulatory Affairs (OIRA), Rao led efforts to roll back fundamental environmental protections and misuse the regulatory review process for partisan political purposes. Rao spent the past 20 years arguing against environmental and other public protections, disparaging efforts to keep our air and water clean as unnecessary burdens on corporate freedom, and even referring to the greenhouse effect as a “controversial theory.” Her long record on this issue, as well as her offensive and demeaning writings on sexual assault, race, and LGBTQ rights made it clear that she is incapable of serving fairly as a federal judge. On March 13, the Senate confirmed Rao to the D.C. Circuit by a vote of 53-46 (Senate roll call vote 44). NO IS THE PRO-ENVIRONMENT VOTE.","Other, Justice and Democracy"
Wyrick Confirmation (District Court for Western District of Oklahoma),"The Senate considered President Trump’s nomination of Patrick Wyrick to be a U.S. District Court judge for the Western District of Oklahoma. It is critical that the judges confirmed to serve lifetime appointments on our federal courts are qualified, non-partisan, and committed to treating parties fairly. As Solicitor General for Oklahoma, Wyrick was former Oklahoma Attorney General and EPA Administrator Scott Pruitt’s “dear friend and trusted counselor”—they worked together on multiple cases that challenged the EPA’s ability to protect public lands and clean air and address climate change. Wyrick’s record also raised serious ethical concerns. He made several inaccurate statements to the Senate Judiciary Committee, including about his involvement in his wife’s business, his conflicts with oil and gas companies, and his false statements before the U.S. Supreme Court. On April 9, the Senate confirmed Wyrick to the Western District of Oklahoma by a vote of 53-47 (Senate roll call vote 68). NO IS THE PRO-ENVIRONMENT VOTE.","Other, Justice and Democracy"
Bernhardt Confirmation (Interior Secretary),"The Senate considered President Trump’s nomination of David Bernhardt to serve as the secretary of the Department of the Interior (DOI). This position is critical to protecting our natural resources for future generations, but Bernhardt’s confirmation put our public lands and oceans, national parks and monuments, clean air and water, and wildlife at risk. With his long history of lobbying for the very industries under the Department of the Interior’s purview—creating numerous conflicts of interest—and his proximity to ethics scandals during his roles as acting Interior secretary and deputy secretary, it is clear Bernhardt has not put the public interest first. Bernhardt was the architect of some of the Trump administration’s most destructive natural resource policies, including overseeing the largest elimination of protected public lands and waters in U.S. history through President Trump’s unprecedented attempt to rescind two million acres of Bears Ears and Grand Staircase-Escalante National Monuments, a radical expansion of offshore drilling, and the fast-tracking of efforts to drill in the pristine and sacred Arctic National Wildlife Refuge.  On April 11, the Senate confirmed Bernhardt to be secretary of the Department of the Interior by a vote of 56-41 (Senate roll call vote 77). NO IS THE PRO-ENVIRONMENT VOTE.","Climate Change, Drilling, Lands/Forests, Wildlife, Other"
Jorjani Confirmation (Interior Solicitor),"The Senate considered President Trump’s nomination of Daniel Jorjani to serve as the solicitor  of the Department of the Interior (DOI). This position is the top lawyer for DOI, and is the bottom line on legal issues and ethics for the department. Before joining DOI, Jorjani held several positions with groups funded by the well-known oil magnates, the Koch brothers. Prior to his confirmation, Jorjani served as Interior’s Principal Deputy Solicitor and was responsible for providing legal guidance for some of the Interior Department’s most egregious decisions in support of Trump’s“energy dominance” agenda. Time and again his legal opinions  benefitted oil, gas, mining or extractive interests at the expense of conservation and public health. Jorjani has also demonstrated an aversion to transparency, including restricting Freedom of Information Act responses and justifying Interior Secretary Bernhardt’s troubling practice of not maintaining a calendar, which made it harder for the public to know with whom he has been meeting.  Jorjani’s ties to the fossil fuel industry and efforts to hinder transparency within the Department put him at odds with the core mission of the office of the solicitor. On September 24, the Senate confirmed Jorjani to be the solicitor of the Department of the Interior by a vote of 51-43 (Senate roll call vote 300). NO IS THE PRO-ENVIRONMENT VOTE.","Other, Lands/Forests"
Scalia Confirmation (Labor Secretary),"The Senate considered President Trump’s nomination of Eugene Scalia to serve as the secretary of the Department of Labor (DOL). This position is critical to protecting labor rights and the safety of our workers as we transition to a clean energy economy, but Scalia’s confirmation puts workers and our communities at risk. He has a long history of working on behalf of corporate interests who have fought health and safety standards, including representing Big Oil’s fight against refinery safety regulations following catastrophic refinery fires across the nation. Efforts to transition to a clean energy economy require strong labor protections to keep workers safe, ensure greater equity and establish family-sustaining jobs. Scalia’s record starkly contrasts with these goals as well as the very mission of the Department of Labor.  On September 26, the Senate confirmed Scalia to be secretary of the Department of Labor by a vote of 53-44 (Senate roll call vote 313). NO IS THE PRO-ENVIRONMENT VOTE.",Other
Stopping Rollbacks of Carbon Pollution Limits for Power Plants,"Senator Ben Cardin (D-MD) sponsored S.J. Res. 53, the resolution of disapproval of the Trump administration EPA’s Affordable Clean Energy rule. In addition to demonstrating the broad opposition to the rule, if enacted, the resolution would invalidate the rule. Trump’s rule, more accurately titled the Dirty Power Scam, is part of a dangerous pattern of this administration ignoring science and favoring polluters over the public interest. This rule does nothing to fight climate change or protect communities from toxic pollution, and it lets fossil fuel-fired power plants off the hook to clean up their carbon pollution. The Dirty Power Scam would put no meaningful limits on carbon pollution, and, in fact, could lead to more pollution in many parts of the country than if there were no standard at all. On October 17, the Senate rejected S.J. Res. 53 by a vote of 41-53 (Senate roll call vote 324). YES IS THE PRO ENVIRONMENT VOTE.",Climate Change
Undermining the Land and Water Conservation Fund,"Senator Mike Lee (R-UT) offered an amendment to H.R. 3055, the Commerce, Justice, Science, Agriculture, Rural Development, Food and Drug Administration, Interior, Environment, Military Construction, Veterans Affairs, Transportation, and Housing and Urban Development Appropriations Act, 2020, which would undermine the Land and Water Conservation Fund’s (LWCF) core conservation mission by jeopardizing the program’s ability to acquire lands for new or expanded LWCF sites. LWCF secures vital public access to green spaces; protects wildlife and other irreplaceable resources; help agencies reduce costs and address ongoing management issues (such as invasive species and wildfires); and enhances outdoor recreation opportunities. The rejection of this amendment is a victory for our nation’s best parks program and for all those who cherish our public lands. On October 31, the Senate rejected the Lee amendment by a vote of 29-64. NO IS THE PRO-ENVIRONMENT VOTE.",Lands/Forests
Border Wall Funding & Anti-Immigrant Policy,"Senate Judiciary Committee Chairman Charles Grassley (R-IA) offered an amendment to H.R. 2579, which would have funded the environmentally destructive and xenophobic border wall and advanced anti-immigrant policies. The border wall threatens communities living along our southern border, has far ranging negative impacts on our lands, wildlife and waterways, and circumvents bedrock environmental laws. This amendment would spend nearly $25 billion on an ineffective and damaging border wall and military technology, and would waive 36 environmental and cultural laws for construction of the wall and other border enforcement activities on federal lands within 100 miles of both the northern and southern borders. The Grassley amendment also includes policies that would cause significant harm to immigrant families, including gutting family immigration and eliminating the diversity visa lottery program. On February 15, the Senate rejected the Grassley amendment by a vote of 39-60 (Senate roll call vote 36). NO IS THE PRO-ENVIRONMENT VOTE.",Other
Wheeler Confirmation (EPA Deputy Administrator),"The Senate considered President Trump’s nomination of Andrew Wheeler for deputy administrator of the Environmental Protection Agency (EPA). The mission of the EPA is to protect human health and the environment, but Wheeler has dedicated his career to weakening environmental protections—he served as a lobbyist for numerous fossil fuel clients, including one of our country’s biggest polluters, Murray Energy. Wheeler’s inherent conflicts of interest, which stem from his long history of ties to the fossil fuel industry, make him an entirely inappropriate choice for the second highest leadership role at the agency. On April 12, the Senate confirmed Wheeler to be deputy administrator of the EPA by a vote of 53-45 (Senate roll call vote 71). NO IS THE PRO-ENVIRONMENT VOTE.","Climate Change, Clean Air, Clean Water"
Exposing Waterways to Invasive Species,"Senate Majority Leader Mitch McConnell (R-KY) offered S. 1129, the Coast Guard Reauthorization Act, as an amendment to S. 140, the Frank LoBiondo Coast Guard Reauthorization Act. This amendment included the Vessel Incidental Discharge Act (VIDA), which would leave our waters more vulnerable to aquatic invasive species by exempting the shipping industry from requirements under the Clean Water Act in favor of a new, weaker regulatory scheme. By shifting the EPA’s authority to regulate ballast water to the Coast Guard, VIDA would set a dangerous precedent for transferring authority to agencies that are ill-equipped to handle the responsibility. In addition, VIDA would pre-empt the states’ capacity to enact and enforce their own ballast water rules, undermining their ability to protect their waterways from pollution and invasive species. Lastly, VIDA would exempt ships in geographically restricted areas -- such as the Great Lakes -- from any regulation, further jeopardizing some of our most iconic water bodies. On April 18, the Senate rejected the McConnell amendment by a vote of 56-42 (60 votes were needed for passage; Senate roll call vote 77). NO IS THE PRO-ENVIRONMENT VOTE.","Wildlife, Clean Water"
Bridenstine Confirmation (NASA Administrator),"The Senate considered President Trump’s nomination of Representative Jim Bridenstine for administrator of the National Aeronautics and Space Administration (NASA). Bridenstine’s extreme views of NASA’s mission, his voting record, his many scientifically inaccurate statements, and his lack of qualifications make him an unacceptable choice for NASA administrator. His voting record is at odds with NASA’s mission and shows a history of opposition to science-based environmental standards and support for weakening agencies’ use of science in decision-making. As recently as 2016, Bridenstine sought to change the mission of NASA by authoring legislation that essentially stripped out Earth Science and Earth Observing Missions. Scientists, researchers, and individuals across the country rely on this data and the continuity of its collection to understand, forecast, and respond to changes in land use, pollutant emissions, atmospheric chemistry, weather and climate, and other phenomena. On April 19, the Senate confirmed Bridenstine to be administrator of NASA by a vote of 50-49 (Senate roll call vote 80). NO IS THE PRO-ENVIRONMENT VOTE.",Climate Change
Pompeo Confirmation (Secretary of State),"The Senate considered President Trump’s nomination of Representative Mike Pompeo to serve as secretary of state. The secretary of state is tasked with carrying out the president’s foreign policy agenda and plays a key role in shaping international climate policy. Pompeo has deep ties to the Koch Brothers and has consistently favored polluting fossil fuel interests. During his time in Congress, Pompeo voted against protecting public health, conserving imperiled species, and advancing renewable energy, earning an abysmal 4 percent lifetime score on LCV’s National Environmental Scorecard. Pompeo’s anti-environmental record, climate science denial, preference for war over diplomacy, and hostility to human rights should be disqualifying. On April 26, the Senate confirmed Pompeo to be secretary of state by a vote of 57-42 (Senate roll call vote 84). NO IS THE PRO-ENVIRONMENT VOTE.","Climate Change, Other"
Anti-Environmental Rescission Package,"House Majority Leader Kevin McCarthy (R-CA) sponsored H.R. 3, the Spending Cuts to Expired and Unnecessary Programs Act, also known as the rescission package, which would have cut funding for several programs that protect our environment and public health. H.R. 3 would slash programs that promote needed investments in clean energy and conservation, as well as $16 million from the Land and Water Conservation Fund. Additionally, this package, which the Trump administration proposed, irresponsibly rescinds funding levels agreed upon by Congress, and much of the funding that H.R. 3 would cut has been identified for future use and could continue to support projects and communities across the country. On June 20, the Senate rejected a motion to discharge H.R. 3 by a vote of 48-50 (Senate roll call vote 134). NO IS THE PRO-ENVIRONMENT VOTE.",Other
